colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
39,http://purl.obolibrary.org/obo/ENVO_01000614,Bicycle,jilindequestionnaire_data_2022-02-01_0550::x39,,jilindequestionnaire_data_2022-02-01_0550,Do you have a bicycle?,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,g. Do you have a bicycle?,"1, Yes | 2, No | 98, Don't Know",value,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
41,http://purl.obolibrary.org/obo/EUPATH_0000171,Car or truck,jilindequestionnaire_data_2022-02-01_0550::x41,,jilindequestionnaire_data_2022-02-01_0550,Do you have a car,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,i. Do you have a car,"1, Yes | 2, No | 98, Don't Know",value,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
33,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,jilindequestionnaire_data_2022-02-01_0550::x33,,jilindequestionnaire_data_2022-02-01_0550,Do you have electricity in your house?,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,a. Do you have electricity in your house?,"1, Yes | 2, No | 98, Don't Know",value,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
38,http://purl.obolibrary.org/obo/EUPATH_0054558,Microwave oven,jilindequestionnaire_data_2022-02-01_0550::x38,,jilindequestionnaire_data_2022-02-01_0550,Do you have a microwave oven,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,f. Do you have a microwave oven,"1, Yes | 2, No | 98, Don't Know",value,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
40,http://purl.obolibrary.org/obo/ENVO_01000615,Motorcycle or scooter,jilindequestionnaire_data_2022-02-01_0550::x40,,jilindequestionnaire_data_2022-02-01_0550,Do you have a motorcycle?,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,h. Do you have a motorcycle?,"1, Yes | 2, No | 98, Don't Know",value,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
34,http://purl.obolibrary.org/obo/ENVO_01000577,Radio,jilindequestionnaire_data_2022-02-01_0550::x34,,jilindequestionnaire_data_2022-02-01_0550,Do you have a radio?,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,b. Do you have a radio?,"1, Yes | 2, No | 98, Don't Know",value,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
37,http://purl.obolibrary.org/obo/ENVO_01000583,Refrigerator,jilindequestionnaire_data_2022-02-01_0550::x37,,jilindequestionnaire_data_2022-02-01_0550,Do you have a refrigerator?,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,e. Do you have a refrigerator?,"1, Yes | 2, No | 98, Don't Know",value,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
36,http://purl.obolibrary.org/obo/ENVO_01000580,Telephone (mobile or non-mobile),jilindequestionnaire_data_2022-02-01_0550::x36,,jilindequestionnaire_data_2022-02-01_0550,Do you have a telephone/cell phone?,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,d. Do you have a telephone/cell phone?,"1, Yes | 2, No | 98, Don't Know",value,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
35,http://purl.obolibrary.org/obo/ENVO_01000579,Television,jilindequestionnaire_data_2022-02-01_0550::x35,,jilindequestionnaire_data_2022-02-01_0550,Do you have a Television?,Household,http://purl.obolibrary.org/obo/EUPATH_0000144,Assets,c. Do you have a Television?,"1, Yes | 2, No | 98, Don't Know",value,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
48,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material,jilindequestionnaire_data_2022-02-01_0550::x48,,jilindequestionnaire_data_2022-02-01_0550,What is the MAIN type of outer walls of your house?,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,17. What is the MAIN type of outer walls of your house?,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
49,http://purl.obolibrary.org/obo/EUPATH_0022002,External wall material,jilindequestionnaire_data_2022-02-01_0550::x49,,jilindequestionnaire_data_2022-02-01_0550,What is the MAIN type of outer walls of your house?,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Other specify,,variable,,,,Demand_creation_evaluation_questionnaire,,,,,,,,,
